Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Blazblue: Continuum Shift Extend,PS3,2011.0,Fighting,PQube,0.0,0.0,0.09,0.0,0.09,73.0,6.0,7.5,27.0,Arc System Works,T
Tenchu: Wrath of Heaven,PS2,2003.0,Action,Activision,0.44,0.34,0.25,0.11,1.14,79.0,33.0,8.4,38.0,K2 LLC,M
Thief (2014),XOne,2014.0,Action,Square Enix,0.26,0.15,0.0,0.04,0.46,,,,,,
Secret Weapons Over Normandy,XB,2003.0,Simulation,LucasArts,0.19,0.05,0.0,0.01,0.25,77.0,31.0,8.8,4.0,Totally Games,T
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M
Major League Baseball 2K9,PS2,2009.0,Sports,Spike,0.08,0.06,0.0,0.02,0.17,,,5.4,5.0,2K Sports,E
Twisted Metal: Head On,PSP,2005.0,Action,Sony Computer Entertainment,0.71,0.0,0.0,0.06,0.77,79.0,45.0,8.2,38.0,Incognito Inc.,T
SWAT: Global Strike Team,PS2,2003.0,Shooter,Vivendi Games,0.16,0.12,0.0,0.04,0.32,69.0,21.0,7.8,16.0,Argonaut Games,M
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.12,0.04,0.0,0.0,0.17,,,,,,
Rugby World Cup 2011,X360,2011.0,Sports,505 Games,0.03,0.21,0.0,0.04,0.28,55.0,14.0,3.9,13.0,HB Studios Multimedia,E
Batman: The Brave and the Bold the Videogame,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,0.2,0.05,0.0,0.02,0.28,,,,,,
50 Cent: Bulletproof,PSP,2006.0,Action,Vivendi Games,0.08,0.0,0.0,0.01,0.08,,,,,,
Power Rangers: Time Force,GBA,2001.0,Action,THQ,0.14,0.05,0.0,0.0,0.2,,,,,,
Need for Speed: Most Wanted,X360,2005.0,Racing,Electronic Arts,1.0,0.13,0.02,0.1,1.25,83.0,54.0,8.5,134.0,EA Canada,T
Famicom Mini: TwinBee,GBA,2004.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,,
Arc the Lad: Twilight of the Spirits,PS2,2003.0,Role-Playing,Sony Computer Entertainment,0.18,0.14,0.0,0.05,0.36,72.0,39.0,8.2,33.0,Cattle Call,T
Kung Fu Panda,Wii,2008.0,Action,Activision,0.5,0.32,0.0,0.09,0.91,70.0,20.0,6.7,7.0,Xpec,E10+
Vanquish,PS3,2010.0,Shooter,Sega,0.21,0.21,0.11,0.08,0.61,84.0,61.0,8.1,304.0,PlatinumGames,M
The Smurfs,DS,2011.0,Action,Ubisoft,0.23,0.14,0.0,0.04,0.41,,,tbd,,Land Ho!,E
Ben 10 Galactic Racing,PSV,2012.0,Racing,D3Publisher,0.02,0.01,0.0,0.01,0.04,,,3.8,8.0,Monkey Bar Games,E
GunGriffon,SAT,1995.0,Simulation,Sega,0.0,0.0,0.19,0.0,0.19,,,,,,
Tomb Raider: Legend,GC,2006.0,Action,Eidos Interactive,0.06,0.02,0.0,0.0,0.08,78.0,6.0,7.8,8.0,Crystal Dynamics,T
Ski and Shoot,Wii,2008.0,Sports,RTL,0.04,0.04,0.0,0.01,0.09,,,tbd,,49Games,E
FIFA 15,PC,2014.0,Sports,Electronic Arts,0.0,0.27,0.0,0.02,0.28,82.0,9.0,4.2,383.0,EA Sports,E
Rory McIlroy PGA Tour,XOne,2015.0,Action,Electronic Arts,0.16,0.09,0.0,0.02,0.27,60.0,26.0,4.3,77.0,EA Tiburon,E
Dragon Quest Monsters: Joker,DS,2006.0,Role-Playing,Square Enix,0.23,0.02,1.49,0.02,1.76,75.0,30.0,7.4,27.0,TOSE,E10+
Shadows of the Damned,PS3,2011.0,Action,Electronic Arts,0.11,0.09,0.04,0.03,0.27,77.0,56.0,8.1,124.0,Grasshopper Manufacture,M
You're in the Movies,X360,2008.0,Misc,Microsoft Game Studios,0.27,0.17,0.0,0.05,0.48,55.0,21.0,5.5,20.0,Zoe Mode,E
Planetarian: Chiisana Hoshi no Yume,PSP,2009.0,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02,,,,,,
Crash 'N' Burn,PS2,2004.0,Racing,Eidos Interactive,0.11,0.08,0.0,0.03,0.21,63.0,17.0,8,7.0,Climax Group,T
Arabians Lost: The Engagement on Desert,PS2,2007.0,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02,,,,,,
Alundra,PS,1997.0,Role-Playing,Psygnosis,0.13,0.09,0.0,0.01,0.23,86.0,9.0,9,41.0,Matrix Software,T
The Golden Compass,PSP,,Action,Sega,0.11,0.16,0.0,0.1,0.37,28.0,4.0,4.1,7.0,Shiny Entertainment,E10+
FIFA Soccer 2005,GC,2004.0,Sports,Electronic Arts,0.11,0.03,0.0,0.0,0.14,78.0,22.0,8.5,6.0,EA Canada,E
Are You Smarter Than a 5th Grader? Back to School,Wii,2010.0,Misc,Nintendo,0.18,0.0,0.0,0.01,0.19,,,tbd,,THQ,E
Star Wars The Clone Wars: Republic Heroes,DS,2009.0,Action,LucasArts,0.22,0.14,0.0,0.04,0.39,,,5.3,4.0,LucasArts,E10+
Grand Kingdom,PS4,2015.0,Role-Playing,Nippon Ichi Software,0.03,0.0,0.03,0.01,0.07,78.0,33.0,8.1,63.0,Spike Chunsoft,T
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82.0,32.0,8.2,78.0,Stormfront Studios,T
Spider-Man 2,GC,2004.0,Action,Activision,0.65,0.17,0.0,0.02,0.84,80.0,41.0,8.8,30.0,Treyarch,T
Rabbids Invasion: The Interactive TV Show,XOne,2014.0,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.01,,,,,,
NCAA Basketball 10,PS3,2009.0,Sports,Electronic Arts,0.31,0.0,0.0,0.03,0.33,75.0,17.0,7.8,6.0,EA Canada,E
Here They Lie,PS4,2016.0,Adventure,Sony Computer Entertainment,0.0,0.02,0.0,0.0,0.02,62.0,31.0,6.5,36.0,The Tangentlemen,M
Burnout Legends,DS,2005.0,Racing,Electronic Arts,0.15,0.02,0.0,0.01,0.18,38.0,12.0,6,59.0,Visual Impact,E
Miyako: Awayuki no Utage,PSP,2012.0,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,
Tekken Tag Tournament 2,PS3,2012.0,Fighting,Namco Bandai Games,0.28,0.31,0.13,0.13,0.85,82.0,50.0,8.2,193.0,Namco Bandai Games,T
Bejeweled Blitz,PC,2010.0,Puzzle,Mastertronic,0.0,0.01,0.0,0.0,0.02,,,tbd,,PopCap,E
The Lord of the Rings: The Third Age,PS2,2004.0,Role-Playing,Electronic Arts,0.49,0.02,0.0,0.08,0.58,73.0,35.0,8.2,60.0,EA Games,T
Sakura-Sou no Pet na Kanojo,PSP,2013.0,Adventure,Kadokawa Games,0.0,0.0,0.01,0.0,0.01,,,,,,
Dynasty Warriors 6,PS2,2008.0,Action,Tecmo Koei,0.12,0.09,0.0,0.03,0.25,43.0,7.0,5.4,14.0,"Koei, Omega Force",T
Jikkyou Powerful Pro Yakyuu 13 Ketteiban,PS2,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,,,,,,
Call of Duty: Infinite Warfare,PC,2016.0,Shooter,Activision,0.04,0.08,0.0,0.01,0.14,73.0,16.0,3,440.0,Infinity Ward,M
Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,GBA,2004.0,Misc,Nintendo,0.09,0.03,0.0,0.0,0.13,,,,,,
Codename: Panzers Phase Two,PC,2005.0,Strategy,CDV Software Entertainment,0.0,0.01,0.0,0.0,0.01,80.0,36.0,8.1,15.0,Stormregion,T
FaceBreaker,PS3,2008.0,Fighting,Electronic Arts,0.13,0.02,0.0,0.02,0.17,53.0,37.0,3.8,20.0,EA Canada,T
Teen Titans,GC,2006.0,Action,THQ,0.25,0.07,0.0,0.01,0.33,63.0,11.0,6.9,11.0,Artificial Mind and Movement,E10+
Thief (2014),PS4,2014.0,Action,Square Enix,0.28,0.38,0.03,0.13,0.82,,,,,,
Barbie Horse Adventures: Wild Horse Rescue,PS2,2003.0,Sports,Universal Interactive,0.24,0.19,0.0,0.06,0.49,,,6.6,10.0,Blitz Games,E
World Soccer Winning Eleven 9,PS2,2005.0,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06,,,8.2,23.0,Konami,E
Fantastic 4: Flame On,GBA,2005.0,Action,Activision,0.2,0.08,0.0,0.01,0.28,,,,,,
Spider-Man: Friend or Foe,PSP,2007.0,Action,Activision,0.16,0.0,0.0,0.01,0.18,58.0,7.0,4.4,9.0,Artificial Mind and Movement,E10+
BMX XXX,XB,2002.0,Sports,Acclaim Entertainment,0.08,0.02,0.0,0.0,0.11,58.0,26.0,7.8,9.0,"Z-Axis, Ltd.",M
Namco Museum 64,N64,1999.0,Misc,Namco Bandai Games,1.24,0.17,0.03,0.01,1.45,,,,,,
Shrek Smash n' Crash Racing,GC,2006.0,Racing,Activision,0.1,0.03,0.0,0.0,0.13,,,3.1,7.0,Activision,E
Don King Presents: Prizefighter,X360,2008.0,Sports,Take-Two Interactive,0.14,0.08,0.0,0.02,0.25,56.0,45.0,6.4,29.0,Venom Games,T
Penny Racers Party: Turbo-Q Speedway,Wii,2008.0,Racing,Takara Tomy,0.07,0.0,0.0,0.01,0.08,,,tbd,,Takara Tomy,E
Monkey Hero,PS,1998.0,Action,Take-Two Interactive,0.04,0.03,0.0,0.0,0.08,,,,,,
PaRappa The Rapper,PS,1996.0,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92,92.0,15.0,7.4,48.0,NanaOn-Sha,K-A
Pippa Funnell: Ranch Rescue,Wii,2007.0,Adventure,Ubisoft,0.0,0.01,0.0,0.0,0.02,,,,,,
Sword Art Online: Game Director's Edition,PS4,2015.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05,,,,,,
The Voice,WiiU,2014.0,Action,Activision,0.08,0.0,0.0,0.01,0.1,,,,,,
Excitebike 64,N64,2000.0,Racing,Nintendo,0.65,0.15,0.19,0.01,1.0,,,,,,
Virtual Villagers: A New Home,DS,2010.0,Simulation,PQube,0.04,0.01,0.0,0.0,0.05,,,tbd,,LDW,E
Myst,PC,1994.0,Adventure,Red Orb,0.02,2.79,0.0,0.0,2.81,,,,,,
The Suffering,XB,2004.0,Action,Midway Games,0.16,0.05,0.0,0.01,0.22,77.0,44.0,8.8,23.0,Surreal Software,M
Final Fantasy III,SNES,1994.0,Role-Playing,SquareSoft,0.86,0.0,2.55,0.02,3.42,,,,,,
Raw Danger!,PS2,2006.0,Action,505 Games,0.02,0.01,0.0,0.0,0.03,,,,,,
Project CARS,PC,2015.0,Racing,Slightly Mad Studios,0.0,0.12,0.0,0.01,0.13,83.0,48.0,7.1,418.0,Slightly Mad Studios,E
WipEout Fusion,PS2,2002.0,Racing,Sony Computer Entertainment,0.12,0.1,0.0,0.03,0.25,83.0,21.0,8.5,43.0,Studio Liverpool,E
Fast Food,2600,1981.0,Action,Unknown,0.27,0.02,0.0,0.0,0.29,,,,,,
Metroid: Other M,Wii,2010.0,Action,Nintendo,0.85,0.27,0.13,0.1,1.34,79.0,71.0,6.5,482.0,Team Ninja,T
Sonic Colors,DS,2010.0,Platform,Sega,0.69,0.47,0.01,0.12,1.29,79.0,26.0,7.9,66.0,Dimps Corporation,E
SD Gundam G Generation Wars,Wii,2009.0,Strategy,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,,,,,,
Backyard Wrestling: Don't Try This at Home,XB,2003.0,Fighting,Eidos Interactive,0.13,0.04,0.0,0.01,0.17,50.0,15.0,5,7.0,Paradox Development,M
NBA 2K7,PS2,2006.0,Sports,Take-Two Interactive,0.65,0.02,0.0,0.11,0.78,81.0,12.0,8.4,18.0,"Kush Games, Visual Concepts",E
Fast Food Panic,DS,2010.0,Simulation,Nobilis,0.13,0.0,0.0,0.01,0.14,,,tbd,,Dorasu,E
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Rare Ltd.,E10+
Prey the Stars,DS,2008.0,Action,Tecmo Koei,0.07,0.0,0.0,0.01,0.07,66.0,12.0,tbd,,Koei Canada,E
Wipeout 2,Wii,2011.0,Misc,Activision,0.3,0.0,0.0,0.02,0.32,,,tbd,,Endemol,E10+
WCW vs. nWo: World Tour,N64,1997.0,Fighting,THQ,1.37,0.28,0.03,0.02,1.69,,,,,,
Corpse Party: Blood Drive,PSV,2014.0,Adventure,Marvelous Interactive,0.08,0.01,0.06,0.03,0.18,60.0,19.0,7.4,58.0,5pb,M
Plants vs. Zombies: Garden Warfare,X360,2014.0,Shooter,Electronic Arts,0.51,0.47,0.0,0.09,1.08,69.0,6.0,7.3,121.0,PopCap,E10+
Simple DS Series Vol. 14: The Jidousha Kyoushuujo DS,DS,2007.0,Misc,D3Publisher,0.0,0.0,0.01,0.0,0.01,,,,,,
Superman: Shadow of Apokolips,PS2,2002.0,Action,Atari,0.21,0.16,0.0,0.05,0.42,64.0,22.0,7.2,9.0,Atari,E
MLB 08: The Show,PS2,2008.0,Sports,Sony Computer Entertainment,0.35,0.01,0.0,0.06,0.42,84.0,12.0,7.3,7.0,SCEA San Diego Studios,E
Overwatch,PS4,2016.0,Shooter,Activision,0.81,0.85,0.15,0.33,2.14,90.0,31.0,6.1,1358.0,Blizzard Entertainment,T
Burnout 2: Point of Impact,XB,2003.0,Racing,Acclaim Entertainment,0.18,0.05,0.0,0.01,0.24,88.0,23.0,5.1,23.0,Criterion Games,E
Canada Hunt,Wii,2010.0,Sports,Virtual Play Games,0.02,0.0,0.0,0.0,0.02,,,tbd,,Virtual Play Inc.,T
Resident Evil Zero,GC,2002.0,Action,Capcom,0.54,0.27,0.45,0.04,1.29,,,,,,
Lovely x Cation 1 & 2,PSV,2015.0,Action,5pb,0.0,0.0,0.02,0.0,0.02,,,,,,
Destiny: The Collection,XOne,2016.0,Shooter,Activision,0.05,0.06,0.0,0.01,0.12,,,tbd,,Bungie,T
Legend of Legaia,PS,1998.0,Role-Playing,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.66,,,,,,
Shrek the Third,X360,2007.0,Action,Activision,0.54,0.09,0.0,0.06,0.68,,,,,,
Gradius Collection,PSP,2006.0,Shooter,Konami Digital Entertainment,0.04,0.0,0.02,0.0,0.06,76.0,44.0,8.5,4.0,M2,E
Astro Boy: The Video Game,Wii,2009.0,Action,D3Publisher,0.1,0.0,0.0,0.01,0.11,48.0,17.0,3.5,4.0,High Voltage Software,E10+
Mortal Kombat: Deception,GC,2005.0,Fighting,Midway Games,0.09,0.02,0.0,0.0,0.11,77.0,14.0,8.9,15.0,Midway,M
Assassin's Creed: Rogue,PC,2015.0,Action,Ubisoft,0.05,0.02,0.0,0.01,0.08,74.0,25.0,7.5,362.0,Ubisoft,M
Dark Souls II,PS4,2015.0,Role-Playing,Namco Bandai Games,0.21,0.23,0.08,0.09,0.6,,,,,,
Tank Beat,DS,2006.0,Strategy,Midas Interactive Entertainment,0.01,0.01,0.0,0.0,0.02,40.0,12.0,5.4,8.0,MileStone Inc.,E10+
WWE SmackDown! vs. RAW 2006,PSP,2005.0,Fighting,THQ,0.36,0.0,0.0,0.03,0.4,81.0,30.0,8.5,37.0,Yuke's,T
Rampage World Tour,PS,1997.0,Action,GT Interactive,0.47,0.32,0.0,0.06,0.85,,,,,,
Turok,X360,2008.0,Action,Touchstone,0.46,0.2,0.01,0.07,0.75,69.0,63.0,7.1,120.0,Propaganda Games,M
Tetris 2 + Bombliss,NES,1991.0,Puzzle,BPS,0.0,0.0,0.32,0.0,0.32,,,,,,
Grand Slam Tennis 2,X360,2012.0,Sports,Electronic Arts,0.1,0.06,0.0,0.02,0.18,71.0,45.0,5.1,14.0,EA Sports,E
Cooking Mama: Cook Off,Wii,2007.0,Simulation,505 Games,1.41,1.12,0.05,0.3,2.89,61.0,37.0,5.3,23.0,OfficeCreate,E
Heart no Kuni no Alice,PS2,2008.0,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01,,,,,,
Gourmet Chef: Cook Your Way to Fame,DS,2008.0,Misc,Ubisoft,0.13,0.0,0.0,0.01,0.14,,,tbd,,Ubisoft,E
The Daring Game for Girls,Wii,,Adventure,Unknown,0.09,0.0,0.0,0.01,0.09,,,tbd,,WXP,E
Mega Man 8 Anniversary Collector's Edition,SAT,1997.0,Platform,Capcom,0.0,0.0,0.06,0.0,0.06,,,,,,
X-Men: Destiny,Wii,2011.0,Action,Activision,0.07,0.02,0.0,0.01,0.1,36.0,10.0,4.5,15.0,Silicon Knights,T
Strikers 1945,PS,1998.0,Shooter,Midas Interactive Entertainment,0.07,0.05,0.0,0.01,0.12,63.0,5.0,8.2,6.0,Psikyo,E
Killer Instinct Gold,N64,1996.0,Fighting,Nintendo,0.61,0.19,0.0,0.01,0.82,,,,,,
Konami Classics Vol. 2,X360,2009.0,Misc,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.01,,,tbd,,Konami,E10+
Prison Architect,XOne,2016.0,Action,Introversion Software,0.01,0.0,0.0,0.0,0.01,74.0,13.0,6.7,7.0,"Introversion, Double Eleven",
The Sims: Bustin' Out,XB,2003.0,Simulation,Electronic Arts,0.4,0.14,0.0,0.02,0.56,81.0,26.0,8.9,12.0,Maxis,T
Prince of Persia: Warrior Within,PS2,2004.0,Action,Ubisoft,0.54,0.88,0.0,0.22,1.64,83.0,51.0,8.5,120.0,Ubisoft Montreal,M
Need for Speed: Most Wanted,PC,2005.0,Racing,Electronic Arts,0.02,0.23,0.0,0.04,0.29,82.0,19.0,8.5,525.0,Black Box,T
Attack on Titan: Humanity in Chains,3DS,2013.0,Action,Screenlife,0.0,0.0,0.42,0.0,0.42,46.0,22.0,4.5,34.0,Spike Chunsoft,M
Soul Nomad & the World Eaters,PS2,2007.0,Role-Playing,Tecmo Koei,0.14,0.11,0.0,0.04,0.28,,,,,,
Arcade Shooting Gallery,Wii,2008.0,Shooter,Zoo Games,0.18,0.0,0.0,0.01,0.19,,,tbd,,Zoo Games,E10+
Turok: Evolution,XB,2002.0,Shooter,Acclaim Entertainment,0.39,0.14,0.0,0.02,0.55,68.0,25.0,6.7,9.0,Acclaim,M
MLB 14: The Show,PSV,2014.0,Sports,Sony Computer Entertainment America,0.08,0.0,0.0,0.03,0.11,68.0,6.0,7,25.0,SCEA San Diego Studios,E
Surfing H3O,PS2,2000.0,Sports,Take-Two Interactive,0.12,0.1,0.0,0.03,0.25,46.0,15.0,4.6,8.0,Opus,E
Zathura,XB,2005.0,Adventure,Take-Two Interactive,0.02,0.0,0.0,0.0,0.02,48.0,15.0,5.5,4.0,High Voltage Software,E10+
Madagascar: Escape 2 Africa,DS,2008.0,Action,Activision,0.41,0.25,0.0,0.07,0.73,55.0,6.0,tbd,,Amaze Entertainment,E
Moto Racer DS,DS,2008.0,Racing,Nobilis,0.0,0.02,0.0,0.0,0.02,73.0,6.0,tbd,,Artefacts Studio,E
The Da Vinci Code,XB,2006.0,Action,Take-Two Interactive,0.03,0.01,0.0,0.0,0.04,52.0,34.0,2.8,5.0,Double Helix Games,T
Greg Hastings' Tournament Paintball Max'd,PS2,2006.0,Shooter,Activision,0.01,0.0,0.0,0.0,0.01,70.0,8.0,9.2,32.0,Activision Value,E10+
Go! Sudoku (JP sales),PSP,2005.0,Puzzle,Sony Computer Entertainment,0.0,0.0,0.11,0.0,0.11,,,,,,
MLB 99,PS,1998.0,Sports,Sony Computer Entertainment,0.48,0.32,0.0,0.06,0.86,,,,,,
SpongeBob SquigglePants 3D,3DS,2011.0,Misc,THQ,0.13,0.05,0.0,0.02,0.19,64.0,8.0,6,8.0,WayForward,E
7th Dragon,DS,2009.0,Role-Playing,Sega,0.0,0.0,0.14,0.0,0.14,,,,,,
Ultraman Star Chronicles,PSP,2013.0,Strategy,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,,
World Soccer Winning Eleven 7,PS2,2003.0,Sports,Konami Digital Entertainment,0.12,0.09,0.0,0.03,0.24,,,,,,
Painkiller,PC,2004.0,Shooter,DreamCatcher Interactive,0.0,0.02,0.0,0.0,0.02,81.0,62.0,8.1,284.0,People Can Fly,M
Senran Kagura Burst: Guren no Sh?jo-tachi,3DS,2012.0,Action,Marvelous Entertainment,0.0,0.0,0.14,0.0,0.14,,,,,,
The King of Fighters: Evolution,DC,2000.0,Fighting,SNK,0.0,0.0,0.07,0.0,0.07,,,,,,
Chopper Command,2600,1982.0,Shooter,Activision,0.47,0.03,0.0,0.01,0.5,,,,,,
Skate,X360,2007.0,Sports,Electronic Arts,0.62,0.03,0.0,0.06,0.71,86.0,59.0,8.4,137.0,EA Black Box,T
F1 Career Challenge,PS2,2003.0,Racing,Electronic Arts,0.05,0.04,0.0,0.01,0.1,70.0,15.0,7.7,15.0,Electronic Arts,E
NHL 2K7,PS3,2006.0,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12,79.0,24.0,6.6,5.0,Kush Games,E10+
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,Kojima Productions,M
Taiko no Tatsujin: Waku Waku Anime Matsuri,PS2,2003.0,Misc,Namco Bandai Games,0.0,0.0,0.2,0.0,0.2,,,,,,
Shin Megami Tensei II,SNES,1994.0,Role-Playing,Atlus,0.0,0.0,0.37,0.0,0.37,,,,,,
